ABLE7;AT16;CTRATIO;ETOT;FEMALE;LOGINC;N;OLDSIB;YNGSIB;SCHOOL
95;3;18.78049;13;1;4.007333;129;0;0;0
97.5;1;15.86207;9;1;3.960813;131;1;2;1
82.5;2;17.42105;13;1;4.135167;133;2;4;0
90;1;18.16216;9;0;2.995732;135;0;1;1
87.5;1;18.03125;9;0;4.189655;137;2;1;1
65;3;18.82857;3;1;4.007333;139;3;2;0
15;3;17.25758;0;1;3.48124;141;2;2;0
95;1;18.78049;13;1;3.610918;143;0;2;1
57.5;2;14.95745;5;0;3.749504;145;0;4;0
50;3;20.97368;2;0;3.624341;147;1;1;0
97.5;2;16.52778;8;1;3.314186;149;0;0;0
92.5;1;16.52778;5;1;3.314186;151;0;1;1
92.5;3;16.52778;8;1;4.677491;153;1;0;0
52.5;3;16.52113;8;1;3.86073;155;0;2;0
77.5;1;16.52778;9;1;4.248495;157;0;0;1
92.5;2;16.66667;14;0;4.094345;159;0;0;0
92.5;3;19.8;9;1;3.401197;161;2;1;0
100;1;15.75;9;0;4.051785;163;0;1;1
87.5;1;17.17949;9;1;4.135167;165;1;0;1
100;1;16.37778;8;1;4.442651;167;0;2;1
100;2;14.40984;9;1;3.86073;169;0;2;0
82.5;2;16.37778;8;1;4.007333;171;0;0;0
45;2;15.2381;12;0;3.960813;173;0;1;0
87.5;1;16.52778;10;1;3.113515;175;0;0;1
82.5;1;16.52778;7;1;3.113515;177;0;0;1
82.5;2;16.59783;10;1;4.350278;179;1;2;0
80;2;20.09091;6;0;4.317488;181;1;1;0
92.5;3;18.21428;11;0;4.135167;183;0;2;0
82.5;3;18.76923;8;0;3.960813;185;1;1;0
97.5;1;17.91667;9;1;4.412798;187;0;5;1
65;2;16.2069;7;0;3.960813;189;0;3;0
47.5;3;17.89231;8;1;3.624341;191;0;2;0
82.5;1;17.89231;10;1;3.624341;193;0;1;1
100;1;16.1;8;1;4.471639;195;1;1;1
90;2;15.24138;8;1;4.212128;197;1;1;0
90;1;15.24138;8;0;3.806663;199;1;0;1
87.5;3;19.35484;7;1;3.113515;201;0;0;0
92.5;3;19.35484;6;1;3.960813;203;0;0;0
90;3;17.66667;7;0;4.49981;205;2;0;0
72.5;2;16.61539;8;1;3.912023;207;1;0;0
57.5;2;15.85714;1;0;3.806663;209;1;2;0
90;2;15.71429;8;1;3.806663;211;2;0;0
37.5;3;17.625;0;1;3.113515;213;0;4;0
80;2;19.82456;9;1;3.806663;215;0;0;0
62.5;3;17.5;6;1;3.749504;217;0;2;0
70;3;15.35714;8;1;3.960813;219;1;0;0
95;3;15.10714;9;1;3.960813;221;0;1;0
85;1;15.65306;8;1;3.314186;223;0;0;1
95;1;15.10714;9;1;3.960813;225;0;1;1
42.5;3;20.18;2;0;3.806663;227;0;2;0
40;3;21.35135;8;1;2.302585;229;0;1;0
87.5;1;16.17647;7;0;4.442651;231;1;1;1
95;2;17.45455;8;1;3.401197;233;1;3;0
40;3;17.21428;1;0;2.862201;235;1;1;0
70;3;18;7;1;3.218876;237;0;0;0
42.5;3;17.47573;0;0;3.806663;239;2;1;0
52.5;1;17.47573;11;0;3.555348;241;1;5;1
82.5;2;16.43182;7;1;3.555348;243;0;0;0
87.5;3;21.35135;9;0;3.912023;245;1;3;0
85;3;16.02703;0;1;4.412798;247;1;1;0
55;2;19.10606;5;0;3.86073;249;0;2;0
90;3;19.8125;15;1;4.283587;251;1;0;0
90;3;18.61111;6;0;3.970292;253;0;3;0
95;2;16.74194;8;0;3.314186;255;0;2;0
60;2;17.47573;9;0;3.401197;257;0;2;0
42.5;2;18.98413;2;0;3.960813;259;0;4;0
92.5;3;18.98413;6;0;3.960813;261;0;4;0
42.5;3;18;15;1;3.86073;263;0;1;0
42.5;1;17.58;7;1;3.806663;265;0;1;1
67.5;3;16.17273;5;1;3.749504;267;1;2;0
75;3;15.625;2;0;3.401197;269;1;2;0
25;2;15.625;8;0;3.806663;271;0;0;0
75;3;17.84444;5;1;3.749504;273;0;1;0
85;2;20.05556;0;0;3.749504;275;0;1;0
62.5;2;18.1875;8;1;3.314186;277;0;0;0
95;3;15.69048;8;1;4.094345;279;1;6;0
35;3;11.58333;0;1;3.555348;281;1;4;0
80;3;16.30233;6;0;3.688879;283;0;0;0
100;1;15.71429;7;1;4.350278;285;0;4;1
80;1;15.71429;6;1;3.960813;287;0;1;1
35;2;19.17647;6;0;4.135167;289;1;0;0
77.5;1;16.30233;7;1;3.806663;291;1;3;1
87.5;3;16.30233;8;1;3.218876;293;1;0;0
20;3;18.875;0;0;3.86073;295;0;3;0
82.5;3;16.51163;7;1;3.555348;297;1;0;0
80;1;17.47712;8;1;4.248495;299;1;2;1
87.5;2;19.88235;8;1;3.624341;301;0;1;0
95;3;16.11111;9;0;3.749504;303;0;5;0
80;3;18.1875;10;1;3.314186;305;0;0;0
92.5;3;19.35484;9;1;4.051785;307;0;1;0
60;3;17.84444;2;1;3.806663;309;1;2;0
45;2;17.21212;9;0;3.960813;311;0;0;0
97.5;3;20.97368;10;0;4.007333;313;3;0;0
90;2;15.75;8;1;3.806663;315;0;1;0
87.5;3;20.97368;4;1;3.749504;317;1;1;0
90;2;14.93939;7;1;3.749504;319;0;2;0
80;1;18.61111;8;1;4.350278;321;1;1;1
37.5;3;17.21212;6;0;2.995732;323;0;0;0
55;2;19.64286;0;0;3.749504;325;0;1;0
75;3;19.18518;1;1;4.212128;327;1;0;0
85;3;14.78462;7;1;3.960813;329;0;1;0
92.5;2;19.70968;9;0;3.806663;331;0;0;0
72.5;2;18;8;0;4.283587;333;0;0;0
77.5;2;18.5;9;0;3.86073;335;0;1;0
92.5;2;14.15094;6;1;3.960813;337;0;1;0
92.5;3;14.15094;0;1;3.960813;339;0;1;0
72.5;2;18;7;0;4.135167;341;0;1;0
80;2;14.70588;5;0;4.051785;343;0;1;0
77.5;3;15.60976;6;0;4.283587;345;1;0;0
77.5;1;18.33333;13;1;3.688879;347;1;2;1
75;3;17.65;0;1;3.912023;349;0;3;0
95;2;15.73333;8;0;3.931826;351;0;1;0
75;2;16.92857;10;1;3.960813;353;1;1;0
97.5;1;15.55814;7;0;4.49981;355;2;2;1
95;1;13.67692;9;0;2.995732;357;1;0;1
92.5;2;18.92593;10;0;2.862201;359;1;2;0
95;2;17.65;7;0;3.555348;361;0;0;0
82.5;1;16.925;9;0;4.007333;363;0;0;1
22.5;2;19.26667;3;1;4.094345;365;1;6;0
85;1;14.91892;10;1;3.749504;367;0;1;1
30;3;19.26667;0;0;3.850147;369;1;2;0
55;3;18.5814;6;1;3.86073;371;1;2;0
90;2;19.94872;11;0;4.579853;373;0;1;0
65;2;19.17857;8;0;4.317488;375;0;1;0
52.5;2;16.5082;3;1;2.862201;377;0;0;0
42.5;3;16.5082;2;1;2.862201;379;0;0;0
92.5;1;16.47059;12;0;4.051785;381;1;0;1
77.5;3;16.62791;9;1;3.806663;383;0;2;0
87.5;3;15.10811;8;1;4.442651;385;0;3;0
80;3;17.33333;5;1;4.283587;387;1;0;0
85;3;20.45;5;1;3.960813;389;1;0;0
75;3;17.21428;0;0;3.555348;391;0;2;0
75;3;15.18421;9;0;3.960813;393;0;2;0
37.5;3;17.09259;0;0;4.051785;395;1;2;0
42.5;3;20.45;4;1;3.688879;397;0;1;0
85;3;15.55556;7;1;4.051785;399;3;1;0
20;2;17.53846;4;0;3.960813;401;0;1;0
95;3;17.21428;6;0;3.86073;403;0;2;0
82.5;2;17.09259;6;1;3.749504;405;1;1;0
60;3;18.56818;6;1;3.912023;407;1;0;0
60;2;17.33333;6;0;4.051785;409;0;1;0
60;2;19.18182;7;1;4.412798;411;0;1;0
85;3;18.33333;9;0;3.583519;413;0;1;0
90;1;16.52941;8;1;3.749504;415;0;0;1
60;3;17.58537;3;1;3.48124;417;1;0;0
97.5;3;16.52941;7;1;3.960813;419;0;1;0
95;2;15.10714;9;1;4.051785;421;1;3;0
62.5;2;19.35484;6;0;4.135167;423;1;1;0
92.5;3;19.14545;0;1;3.86073;425;0;3;0
45;3;18.48333;10;1;4.212128;427;1;0;0
60;1;16.83333;7;1;4.174387;429;0;1;1
82.5;3;18.48333;10;1;3.38439;431;0;2;0
92.5;1;18.48333;8;1;3.314186;433;0;0;1
92.5;3;15.78947;0;1;4.051785;435;1;2;0
95;1;16.83333;8;0;3.806663;437;2;0;1
95;1;17.32692;9;1;4.051785;439;0;0;1
57.5;3;16.30769;5;0;3.960813;441;0;2;0
27.5;1;17.33333;0;0;3.931826;443;0;1;1
90;1;16.72727;9;0;3.86073;445;1;1;1
92.5;1;20.23529;11;1;2.70805;447;0;0;1
85;1;16.72727;10;0;3.912023;449;1;2;1
92.5;1;16.70652;8;1;3.48124;451;1;1;1
97.5;1;18.14815;8;1;3.688879;453;0;0;1
85;1;16.37288;8;0;3.749504;455;0;0;1
80;3;17.7027;5;1;3.912023;457;0;0;0
62.5;1;19.03704;7;0;3.624341;459;0;2;1
95;1;16.1129;9;1;4.317488;461;0;0;1
92.5;1;17.5098;8;1;2.60269;463;0;1;1
75;2;17.7027;9;1;3.86073;465;1;0;0
85;3;16.73809;6;1;3.48124;467;0;2;0
80;2;16.73809;3;0;3.624341;469;1;3;0
40;3;18.25;0;1;4.007333;471;1;5;0
42.5;1;16.625;9;0;3.314186;473;0;0;1
80;3;16.04545;6;1;4.051785;475;0;3;0
87.5;1;17.02083;7;1;3.749504;477;0;0;1
57.5;3;16.04545;0;1;3.749504;479;2;2;0
77.5;2;16.30769;1;0;3.806663;481;1;1;0
100;1;17.91667;0;0;3.688879;483;0;2;1
82.5;3;16.30769;7;0;3.86073;485;0;2;0
82.5;2;17.35897;12;0;3.806663;487;0;2;0
35;3;16.30769;3;0;3.912023;489;0;2;0
82.5;2;16.30769;8;0;3.688879;491;0;2;0
92.5;1;13.73684;8;1;4.248495;493;0;2;1
87.5;1;16.70652;10;0;4.051785;495;0;1;1
95;1;15.45946;9;0;3.912023;497;0;0;1
82.5;3;16.95918;7;1;4.094345;499;2;1;0
82.5;2;18.14286;8;0;3.555348;501;0;1;0
85;2;18.14286;7;1;4.382027;503;2;1;0
75;2;15.11688;8;0;3.314186;505;1;0;0
85;3;17.09091;0;1;3.806663;507;1;2;0
22.5;3;19.52778;0;1;3.86073;509;0;2;0
70;3;18.14286;8;0;3.555348;511;0;3;0
87.5;3;15.54054;6;1;3.806663;513;0;0;0
87.5;2;15.91837;6;0;3.555348;515;2;1;0
85;2;15.91837;7;1;3.960813;517;0;1;0
47.5;3;16.66667;4;1;3.555348;519;0;0;0
100;1;14.02778;9;1;4.317488;521;0;1;1
92.5;1;16.58064;11;0;3.433987;523;0;1;1
75;3;15.91837;7;1;4.051785;525;2;2;0
100;2;15.91837;8;1;4.283587;527;1;0;0
10;2;6.375;0;1;4.007333;529;0;0;0
72.5;2;15.91837;9;0;4.135167;531;0;2;0
85;1;16.31818;9;0;4.051785;533;1;4;1
92.5;2;17.27273;8;0;3.48124;535;1;1;0
57.5;3;15.91837;6;0;3.960813;537;1;0;0
75;3;15.01299;7;1;3.555348;539;0;0;0
87.5;2;16.03333;8;1;3.555348;541;1;1;0
65;3;19.88235;7;1;3.749504;543;0;0;0
90;1;14.37255;12;0;4.412798;545;1;0;1
90;3;19.18518;9;1;4.135167;547;0;3;0
95;3;16.92308;6;0;3.86073;549;2;0;0
80;3;16.8;9;1;3.960813;551;0;0;0
77.5;2;19.25;0;0;4.283587;553;1;0;0
62.5;2;19.25;6;0;3.688879;555;0;0;0
82.5;3;18.21428;2;1;3.86073;557;1;3;0
70;3;18.21428;5;1;3.86073;559;1;3;0
92.5;1;18.03125;9;0;3.749504;561;0;0;1
82.5;3;25;0;0;4.174387;563;0;1;0
85;3;19.30435;6;1;3.314186;565;1;3;0
62.5;2;18.31818;7;1;3.86073;567;0;1;0
100;1;18.07317;9;1;4.766438;569;0;1;1
82.5;3;16.51163;5;1;3.401197;571;0;2;0
77.5;2;18.33333;11;0;3.921973;573;0;3;0
77.5;2;18.31818;11;1;4.174387;575;1;0;0
87.5;1;17.22581;9;1;3.555348;577;0;1;1
82.5;3;18.09091;5;0;3.624341;579;0;0;0
55;1;15.80435;5;0;3.555348;581;0;4;1
15;3;14.45455;0;1;3.401197;583;0;1;0
57.5;2;16.59783;1;0;4.135167;585;0;4;0
47.5;3;20.09091;4;1;3.86073;587;1;4;0
87.5;3;19.66667;1;0;3.749504;589;0;0;0
87.5;3;13.9375;3;0;4.248495;591;0;0;0
82.5;3;16.03333;9;1;3.555348;593;0;0;0
60;2;17.09524;5;0;3.960813;595;0;2;0
85;1;16.91667;22;1;4.297286;597;0;1;1
85;2;17.5;5;1;3.688879;599;0;1;0
75;3;15.12121;7;0;4.094345;601;0;0;0
100;1;18.775;8;1;3.86073;603;3;0;1
85;2;16.03333;7;1;3.749504;605;0;1;0
92.5;2;16.23529;8;0;4.007333;607;0;0;0
97.5;2;16.37778;9;0;4.135167;609;0;1;0
70;2;18.7037;0;0;4.051785;611;0;2;0
90;3;15.88136;7;0;3.624341;613;0;0;0
92.5;3;19.69697;6;1;3.555348;615;0;0;0
92.5;1;16.15385;9;1;4.212128;617;1;0;1
87.5;1;19.69697;9;0;3.218876;619;0;1;1
60;2;15.88136;7;1;3.48124;621;3;1;0
90;2;17.74194;4;0;4.174387;623;0;0;0
47.5;2;17.19048;0;0;3.218876;625;0;0;0
25;2;19.69697;9;0;4.051785;627;0;3;0
95;1;16.85714;8;1;3.749504;629;1;1;1
32.5;3;14;9;0;4.471639;631;1;1;0
82.5;2;18.90385;8;0;3.806663;633;0;2;0
75;1;18.75;8;1;3.48124;635;1;2;1
90;1;16.17647;8;0;4.212128;637;1;1;1
80;3;20;8;0;3.624341;639;0;2;0
87.5;2;19.10606;10;0;4.135167;641;0;0;0
85;2;19.21053;7;1;4.135167;643;0;1;0
92.5;1;17.52326;8;1;4.051785;645;0;0;1
82.5;2;17.85366;5;0;3.912023;647;0;0;0
87.5;1;13.44;6;1;3.401197;649;0;1;1
90;2;15.7;6;0;4.283587;651;0;0;0
70;3;16.95918;7;1;4.283587;653;2;1;0
40;3;18.21739;5;1;3.48124;655;0;0;0
82.5;2;16.38889;9;0;3.806663;657;1;0;0
85;1;18.30337;7;0;3.218876;659;2;2;1
90;2;20.32353;13;1;3.912023;661;0;3;0
12.5;3;11.85714;0;1;3.688879;663;0;0;0
77.5;3;18.21739;6;1;3.48124;665;0;5;0
90;3;19.54545;12;1;4.248495;667;1;0;0
95;1;15.24138;8;0;3.749504;669;0;2;1
40;3;19.6875;4;0;3.86073;671;0;3;0
72.5;3;19.66667;0;0;4.007333;673;0;3;0
47.5;3;20;0;1;4.317488;675;1;2;0
57.5;2;20.70175;5;0;3.960813;677;1;3;0
95;3;16.30667;5;0;3.218876;679;0;0;0
80;1;17.91667;9;1;4.412798;681;1;5;1
70;3;16.17273;5;1;3.688879;683;0;2;0
70;3;18.11594;1;1;2.995732;685;1;2;0
22.5;2;17.0625;9;0;3.555348;687;0;6;0
95;3;18.70313;7;1;3.688879;689;0;5;0
77.5;2;17.47573;9;0;3.688879;691;1;3;0
65;3;20.09091;7;1;3.688879;693;0;0;0
77.5;3;13.10345;3;1;4.043051;695;0;2;0
92.5;3;16.66667;11;1;4.051785;697;1;1;0
97.5;1;17.1625;8;0;3.828641;699;0;1;1
17.5;3;20.32353;3;1;4.051785;701;1;1;0
90;2;16.97143;8;0;2.995732;703;0;2;0
92.5;3;17.45455;7;1;3.960813;705;1;2;0
77.5;3;20.32353;5;1;3.960813;707;1;1;0
95;1;17.89041;9;0;3.749504;709;2;1;1
92.5;3;16.41936;9;0;3.401197;711;1;0;0
87.5;3;6.625;0;0;3.555348;713;0;2;0
80;3;19.19231;6;1;3.749504;715;0;2;0
80;2;19.05556;3;1;3.806663;717;0;1;0
95;1;17.30769;8;1;3.688879;719;0;0;1
97.5;1;17.02083;7;1;4.212128;721;0;0;1
82.5;3;15.12245;6;0;3.688879;723;1;1;0
87.5;2;19.82456;6;0;3.806663;725;0;2;0
22.5;3;17.21428;0;1;4.283587;727;1;2;0
32.5;2;15.18293;8;0;3.401197;729;0;3;0
65;3;16.98305;8;0;3.314186;731;0;3;0
67.5;3;16.98305;8;0;3.624341;733;0;0;0
97.5;2;18.05556;9;1;2.995732;735;0;1;0
75;3;16.51282;0;0;3.401197;737;0;1;0
17.5;3;17.89041;8;0;3.314186;739;2;7;0
72.5;3;18.11594;1;0;3.960813;741;1;0;0
85;1;18.375;6;1;3.624341;743;0;2;1
85;1;17.89041;10;0;3.749504;745;1;2;1
37.5;3;16.71875;1;0;4.212128;747;2;0;0
82.5;3;17.67857;6;0;3.314186;749;0;4;0
80;1;16.02326;6;1;4.212128;751;2;3;1
45;3;19.75862;0;1;2.70805;753;1;3;0
62.5;1;16.71875;1;1;4.174387;755;2;1;1
80;1;14.5;8;1;4.212128;757;0;1;1
82.5;1;16.62791;8;1;3.806663;759;0;0;1
92.5;3;16.02326;7;1;4.471639;761;1;1;0
85;3;13.90411;6;0;3.48124;763;2;2;0
80;1;16.42105;7;0;4.135167;765;1;3;1
97.5;3;15.38461;8;0;3.624341;767;2;1;0
60;3;15.60976;7;0;3.555348;769;1;1;0
87.5;1;17.5098;7;1;3.960813;771;1;0;1
77.5;3;17.92593;6;0;3.401197;773;0;2;0
55;3;13.86539;8;1;3.555348;775;2;1;0
17.5;3;16.44118;2;0;4.043051;777;0;2;0
100;1;16.15385;6;1;4.412798;779;0;2;1
70;1;16.02326;6;1;3.624341;781;0;4;1
60;3;13.86539;4;0;2.995732;783;0;0;0
95;2;17.21428;9;0;4.212128;785;1;0;0
35;2;16.71875;6;1;4.051785;787;1;1;0
60;3;16.66667;11;1;4.051785;789;0;1;0
67.5;1;18.0625;0;1;3.960813;791;0;1;1
85;2;18.38095;7;0;3.218876;793;1;0;0
15;3;4.8;0;1;3.218876;795;0;4;0
85;3;16.71875;6;1;3.624341;797;0;2;0
87.5;3;16.5;7;0;3.912023;799;0;1;0
50;3;20.45;1;1;3.688879;801;0;0;0
85;2;15.18421;7;1;4.317488;803;0;1;0
72.5;2;17.14286;9;1;4.007333;805;0;0;0
95;1;17.10417;10;1;3.749504;807;0;1;1
70;2;16.66667;6;0;3.314186;809;0;0;0
87.5;1;21.19048;10;1;4.051785;811;1;1;1
87.5;2;15.72222;8;1;4.283587;813;0;0;0
92.5;1;15.52747;6;0;4.135167;815;0;1;1
80;2;17.96428;5;0;4.025352;817;0;1;0
72.5;2;16.81579;10;0;4.248495;819;1;0;0
95;1;14.62745;9;1;4.135167;821;0;0;1
97.5;1;15.71429;6;1;3.901973;823;0;2;1
35;2;19.60417;8;0;3.113515;825;0;3;0
70;2;20.26563;5;0;4.412798;827;0;0;0
65;2;19.70968;7;0;3.86073;829;1;2;0
75;3;17.96428;5;1;3.912023;831;0;0;0
90;3;20.26563;7;1;4.051785;833;1;0;0
90;1;17.96428;9;0;3.688879;835;0;2;1
27.5;2;17.01493;7;0;3.624341;837;1;6;0
87.5;2;19.5098;8;0;3.401197;839;1;5;0
82.5;3;17.25758;4;0;4.051785;841;1;1;0
90;1;12.48936;9;1;4.283587;843;1;2;1
87.5;2;18.94737;11;1;4.317488;845;0;2;0
85;3;17.01493;7;1;3.401197;847;0;1;0
82.5;2;16.2069;10;0;3.701302;849;1;3;0
85;1;17.34783;5;1;4.135167;851;0;0;1
67.5;3;17.40741;5;0;4.007333;853;0;1;0
22.5;1;18.78049;7;1;4.051785;855;1;0;1
32.5;2;19.54545;5;0;3.960813;857;0;1;0
80;1;17.18182;6;0;3.555348;859;0;0;1
87.5;3;17.26667;6;1;3.86073;861;0;4;0
85;1;17.26667;8;1;3.688879;863;0;2;1
100;1;16.44231;7;0;4.677491;865;0;2;1
72.5;2;14.53846;5;0;3.86073;867;0;2;0
85;2;19.10606;11;1;3.48124;869;0;2;0
95;2;15.84337;3;0;4.26268;871;1;1;0
70;2;19.3125;0;1;2.995732;873;0;0;0
52.5;1;16.75;5;1;4.007333;875;0;0;1
82.5;2;19.10606;5;0;3.401197;877;1;0;0
52.5;3;19.54545;0;0;3.555348;879;1;2;0
50;2;18.63461;6;1;3.555348;881;0;0;0
87.5;3;19.3125;0;1;3.688879;883;0;0;0
57.5;2;17.02632;4;1;3.555348;885;0;0;0
77.5;2;19.04819;7;1;4.248495;887;0;1;0
67.5;2;16.38636;7;0;3.86073;889;0;2;0
72.5;1;17.58;5;1;3.960813;891;0;0;1
77.5;2;16.26316;7;1;3.960813;893;1;0;0
85;2;18.07018;3;1;3.806663;895;0;1;0
95;2;16.70588;3;0;4.212128;897;0;2;0
45;3;17.82927;7;1;4.283587;899;3;1;0
57.5;2;19.59184;2;0;3.749504;901;1;1;0
30;2;16.10638;4;0;3.912023;903;1;2;0
77.5;2;17.60784;9;1;4.135167;905;2;0;0
32.5;2;17.14286;8;0;3.86073;907;1;1;0
62.5;2;19.59184;8;0;3.960813;909;0;2;0
90;1;20.07692;10;0;3.663562;911;0;4;1
50;3;17.13846;1;1;3.314186;913;1;5;0
80;3;17.13846;2;0;4.174387;915;2;6;0
80;1;15.73333;9;0;3.960813;917;0;1;1
45;2;19.59184;6;0;3.960813;919;0;0;0
32.5;2;17.13846;2;0;3.806663;921;1;1;0
45;2;17.65;0;1;4.051785;923;0;1;0
70;2;19.12903;6;1;4.007333;925;1;0;0
75;2;19.51351;7;0;3.688879;927;1;0;0
72.5;1;19.3125;11;0;3.401197;929;1;0;1
92.5;2;19.0678;4;1;3.749504;931;2;2;0
95;1;12.62162;10;0;4.212128;933;1;1;1
97.5;2;20.5;6;1;2.995732;935;0;1;0
90;2;16.50602;8;0;3.749504;937;0;2;0
87.5;1;16.50602;9;0;4.283587;939;0;0;1
85;3;11.6;0;0;3.401197;941;0;1;0
80;2;17.09091;8;1;3.749504;943;0;0;0
55;3;18.25;6;0;4.135167;945;1;1;0
100;1;14.71212;7;1;4.135167;947;1;2;1
87.5;2;15.875;9;1;3.688879;949;0;0;0
20;3;17.09091;0;0;4.135167;951;2;4;0
60;3;19.0678;3;0;3.912023;953;1;7;0
82.5;2;16.59649;6;1;3.960813;955;0;0;0
92.5;1;14.71212;5;1;3.86073;957;0;2;1
67.5;3;20.6129;0;1;4.051785;959;2;2;0
92.5;3;20.5;7;1;3.86073;961;0;1;0
77.5;2;20.23684;5;1;4.135167;963;0;2;0
85;1;19.0678;12;1;3.960813;965;1;1;1
42.5;3;18.17284;6;1;3.401197;967;0;1;0
95;3;17.44186;8;0;4.276666;969;0;2;0
97.5;1;17.6875;7;1;3.555348;971;2;1;1
60;3;19.69697;8;0;4.051785;973;2;4;0
90;1;17.17949;8;0;4.051785;975;0;2;1
77.5;3;19.21053;6;1;3.749504;977;0;3;0
32.5;3;17.38095;4;1;3.555348;979;0;0;0
77.5;2;18.97872;8;0;3.401197;981;0;0;0
92.5;3;19.20455;7;1;3.688879;983;0;0;0
90;2;17.04545;6;0;3.749504;985;0;2;0
100;3;16.80392;12;1;3.912023;987;1;0;0
80;2;19.69697;11;1;4.283587;989;0;0;0
47.5;3;18.34483;0;1;3.401197;991;1;2;0
45;3;30;0;0;3.650658;993;0;1;0
95;2;18.29577;0;0;3.912023;995;1;0;0
92.5;2;18.03773;10;0;3.806663;997;1;0;0
92.5;3;16.80392;8;1;3.555348;999;0;2;0
80;2;21.08621;9;0;4.283587;1001;0;0;0
87.5;1;17;7;0;3.960813;1003;0;2;1
45;3;19.34;0;1;3.817712;1005;0;3;0
15;3;21.8;0;1;3.218876;1007;0;4;0
65;3;16.90909;4;1;3.624341;1009;0;0;0
85;3;21.08621;10;1;3.688879;1011;2;1;0
90;1;17.04545;8;0;3.314186;1013;0;0;1
55;3;18.71428;0;1;3.555348;1015;0;1;0
85;3;17.88235;9;1;4.471639;1017;0;0;0
20;3;19.86;0;0;4.135167;1019;1;0;0
90;2;19.51351;9;1;4.007333;1021;1;0;0
65;3;20.40909;2;0;3.749504;1023;1;0;0
37.5;2;18.29091;5;0;3.86073;1025;1;0;0
25;3;18.75;1;0;3.806663;1027;0;0;0
22.5;3;12.125;0;1;3.314186;1029;0;3;0
65;2;21.36667;3;1;3.828641;1031;0;1;0
65;3;19.39394;0;1;3.749504;1033;0;2;0
