NR;YEAR;AG;BLACK;BUS;CON;ENT;EXPER;FIN;HISP;HLTH;HOURS;MAN;MAR;MIN;NC;NE;OCC1;OCC2;OCC3;OCC4;OCC5;OCC6;OCC7;OCC8;OCC9;PER;PRO;PUB;RUR;S;SCHOOL;TRA;TRAD;UNION;WAGE;EXPER2;IYEAR_2;IYEAR_3;IYEAR_4;IYEAR_5;IYEAR_6;IYEAR_7;IYEAR_8
17;1982;0;0;0;0;0;6;0;0;0;2530;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.55919051170349;36;0;1;0;0;0;0;0
17;1987;0;0;0;1;0;11;0;0;0;2476;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;0;0;0;1.82033383846283;121;0;0;0;0;0;0;1
17;1980;0;0;0;0;0;4;0;0;0;2484;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.67596244812012;16;0;0;0;0;0;0;0
17;1981;0;0;0;0;0;5;0;0;0;2804;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.51839816570282;25;1;0;0;0;0;0;0
17;1984;0;0;0;0;0;8;0;0;0;2486;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.62202227115631;64;0;0;0;1;0;0;0
18;1986;0;0;0;0;0;10;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.06994390487671;100;0;0;0;0;0;1;0
18;1987;0;0;0;0;0;11;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.87316083908081;121;0;0;0;0;0;0;1
18;1982;0;0;0;0;0;6;0;0;0;2500;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1.63174366950989;36;0;1;0;0;0;0;0
18;1980;0;0;0;0;0;4;0;0;0;2332;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.5159627199173;16;0;0;0;0;0;0;0
18;1983;0;0;0;0;0;7;0;0;0;2474;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.99822878837585;49;0;0;1;0;0;0;0
18;1985;0;0;0;0;0;9;0;0;0;2340;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.26666212081909;81;0;0;0;0;1;0;0
18;1984;0;0;0;0;0;8;0;0;0;2362;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.18401432037354;64;0;0;0;1;0;0;0
18;1981;0;0;0;0;0;5;0;0;0;2116;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1.73537909984589;25;1;0;0;0;0;0;0
45;1985;0;0;0;0;0;7;0;0;0;2205;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.90827286243439;49;0;0;0;0;1;0;0
45;1986;0;0;0;0;0;8;0;0;0;2551;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.74244737625122;64;0;0;0;0;0;1;0
45;1987;0;0;0;1;0;9;0;0;0;2860;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.13568902015686;81;0;0;0;0;0;0;1
45;1984;0;0;1;0;0;6;0;0;0;1920;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.8232136964798;36;0;0;0;1;0;0;0
45;1983;0;0;0;0;0;5;0;0;0;2112;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.74091422557831;25;0;0;1;0;0;0;0
45;1980;0;0;0;0;0;2;0;0;0;1864;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;12;1;0;1;1.89411497116089;4;0;0;0;0;0;0;0
45;1982;0;0;0;0;0;4;0;0;0;2274;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.47349750995636;16;0;1;0;0;0;0;0
45;1981;0;0;0;0;0;3;0;0;0;2021;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;1;0;1;1.47115933895111;9;1;0;0;0;0;0;0
110;1981;0;0;0;0;0;6;0;0;0;2080;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12;0;0;0;1.96225929260254;36;1;0;0;0;0;0;0
110;1980;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12;0;0;1;1.94877481460571;25;0;0;0;0;0;0;0
110;1982;0;0;0;0;0;7;0;0;0;2639;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;1.9632967710495;49;0;1;0;0;0;0;0
110;1984;0;0;0;0;0;9;0;0;0;2150;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.13495421409607;81;0;0;0;1;0;0;0
110;1985;0;0;1;0;0;10;0;0;0;1532;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.12582278251648;100;0;0;0;0;1;0;0
110;1987;0;0;0;0;0;12;1;0;0;2080;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.11239337921143;144;0;0;0;0;0;0;1
110;1983;0;0;0;0;0;8;0;0;0;2223;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;2.20251560211182;64;0;0;1;0;0;0;0
110;1986;0;0;0;0;0;11;1;0;0;2080;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1.99101662635803;121;0;0;0;0;0;1;0
120;1982;0;0;0;0;0;4;0;0;0;1394;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.46208524703979;16;0;1;0;0;0;0;0
120;1985;0;0;0;0;0;7;0;0;0;3979;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.44580316543579;49;0;0;0;0;1;0;0
120;1983;0;0;0;0;0;5;0;0;0;2924;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.32028687000275;25;0;0;1;0;0;0;0
120;1980;0;0;0;0;0;2;0;0;0;1025;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;0.258554875850677;4;0;0;0;0;0;0;0
120;1986;0;0;0;0;0;8;1;0;0;4351;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1.80636405944824;64;0;0;0;0;0;1;0
120;1987;0;0;1;0;0;9;0;0;0;3568;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2.14812016487122;81;0;0;0;0;0;0;1
120;1981;0;0;0;0;0;3;0;0;0;1496;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.31997168064117;9;1;0;0;0;0;0;0
120;1984;0;0;0;0;1;6;0;0;0;3564;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;1.70364654064178;36;0;0;0;1;0;0;0
126;1980;0;0;0;0;0;2;0;0;0;3115;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.73728549480438;4;0;0;0;0;0;0;0
126;1987;0;0;0;0;0;9;0;0;0;2847;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.41468167304993;81;0;0;0;0;0;0;1
126;1983;0;0;0;0;0;5;0;0;0;2340;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.85546326637268;25;0;0;1;0;0;0;0
126;1986;0;0;0;0;0;8;0;0;0;2941;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.78220164775848;64;0;0;0;0;0;1;0
126;1984;0;0;0;0;0;6;0;0;0;2250;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.92243778705597;36;0;0;0;1;0;0;0
126;1981;0;0;0;0;0;3;0;0;0;2735;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.98960089683533;9;1;0;0;0;0;0;0
126;1985;0;0;0;0;0;7;0;0;0;2340;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.06102395057678;49;0;0;0;0;1;0;0
126;1982;0;0;0;0;0;4;0;0;0;2390;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.18991684913635;16;0;1;0;0;0;0;0
150;1982;0;0;1;0;0;4;0;0;0;2006;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.17044055461884;16;0;1;0;0;0;0;0
150;1987;0;0;1;0;0;9;0;0;0;4992;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;1;0.831459522247314;81;0;0;0;0;0;0;1
150;1986;0;0;1;0;0;8;0;0;0;4000;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.11936676502228;64;0;0;0;0;0;1;0
150;1985;0;0;1;0;0;7;0;0;0;3928;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;1.11902594566345;49;0;0;0;0;1;0;0
150;1983;0;0;1;0;0;5;0;0;0;1826;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.09796452522278;25;0;0;1;0;0;0;0
150;1981;0;0;1;0;0;3;0;0;0;2327;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.19403970241547;9;1;0;0;0;0;0;0
150;1980;0;0;1;0;0;2;0;0;0;1876;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.20873534679413;4;0;0;0;0;0;0;0
150;1984;0;0;1;0;0;6;0;0;0;3414;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0.765816211700439;36;0;0;0;1;0;0;0
162;1983;0;0;0;0;0;5;0;0;0;939;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;1;0;1.5398885011673;25;0;0;1;0;0;0;0
162;1981;0;0;0;0;0;3;0;0;0;1710;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;0;0;0;1.06491231918335;9;1;0;0;0;0;0;0
162;1984;0;0;0;0;0;6;0;0;0;1980;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;1.5982860326767;36;0;0;0;1;0;0;0
162;1980;0;0;0;0;0;2;0;0;0;1874;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;1;1;0.502470135688782;4;0;0;0;0;0;0;0
162;1986;0;0;0;0;0;8;0;0;0;2720;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.98845589160919;64;0;0;0;0;0;1;0
162;1982;0;0;0;0;0;4;0;0;0;1488;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1.18949794769287;16;0;1;0;0;0;0;0
162;1987;0;0;0;0;0;9;0;0;0;2795;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;11;0;0;0;2.15867853164673;81;0;0;0;0;0;0;1
162;1985;0;0;0;0;0;7;0;0;0;2735;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.7373206615448;49;0;0;0;0;1;0;0
166;1981;0;0;0;0;0;3;0;0;0;1942;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;0.937687397003174;9;1;0;0;0;0;0;0
166;1987;0;0;0;0;0;9;0;0;0;2301;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;10;0;1;0;1.85107481479645;81;0;0;0;0;0;0;1
166;1985;0;0;0;0;0;7;0;0;0;2160;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;1;0;1.72822141647339;49;0;0;0;0;1;0;0
166;1984;0;0;0;0;0;6;0;0;0;2387;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;1;1;1.17018353939056;36;0;0;0;1;0;0;0
166;1982;0;0;0;0;0;4;0;0;0;1245;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;1.36748766899109;16;0;1;0;0;0;0;0
166;1980;0;0;0;0;0;2;0;0;0;1296;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;1.00529396533966;4;0;0;0;0;0;0;0
166;1986;0;0;0;0;0;8;0;0;0;2336;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;1.70986473560333;64;0;0;0;0;0;1;0
166;1983;0;0;0;0;0;5;0;0;0;1196;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;1;1;1.37800872325897;25;0;0;1;0;0;0;0
189;1984;0;0;0;0;0;6;0;0;0;1400;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.44591951370239;36;0;0;0;1;0;0;0
189;1980;0;0;0;0;0;2;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.13054537773132;4;0;0;0;0;0;0;0
189;1985;0;0;0;0;0;7;0;0;0;1754;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.68511629104614;49;0;0;0;0;1;0;0
189;1981;0;0;0;0;0;3;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0.83624804019928;9;1;0;0;0;0;0;0
189;1982;0;0;0;0;0;4;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.46735978126526;16;0;1;0;0;0;0;0
189;1986;0;0;0;0;0;8;0;0;0;1840;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.68617498874664;64;0;0;0;0;0;1;0
189;1987;0;0;0;0;0;9;0;0;0;1872;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.75513029098511;81;0;0;0;0;0;0;1
189;1983;0;0;0;0;0;5;0;0;0;520;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.07148361206055;25;0;0;1;0;0;0;0
193;1984;0;0;0;0;0;6;0;0;0;2346;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.21712851524353;36;0;0;0;1;0;0;0
193;1981;0;0;0;0;0;3;0;0;0;925;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.49387526512146;9;1;0;0;0;0;0;0
193;1985;0;0;0;0;0;7;0;0;0;2487;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.27203154563904;49;0;0;0;0;1;0;0
193;1982;0;0;0;0;0;4;0;0;0;2187;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.82266211509705;16;0;1;0;0;0;0;0
193;1987;0;0;0;0;0;9;0;0;0;2132;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.42945003509521;81;0;0;0;0;0;0;1
193;1980;0;0;0;0;0;2;0;0;0;980;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.56569194793701;4;0;0;0;0;0;0;0
193;1986;0;0;0;0;0;8;0;0;0;2328;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.35379862785339;64;0;0;0;0;0;1;0
193;1983;0;0;0;0;0;5;0;0;0;2080;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.38033604621887;25;0;0;1;0;0;0;0
209;1985;0;0;0;0;0;8;0;0;0;2520;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.90257477760315;64;0;0;0;0;1;0;0
209;1980;0;0;0;0;0;3;0;0;0;2340;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.91800320148468;9;0;0;0;0;0;0;0
209;1987;0;0;0;0;1;10;0;0;0;2145;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.18698215484619;100;0;0;0;0;0;0;1
209;1982;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.97818541526794;25;0;1;0;0;0;0;0
209;1981;0;0;0;0;0;4;0;0;0;1935;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;0.765407741069794;16;1;0;0;0;0;0;0
209;1983;0;0;0;0;0;6;0;0;0;2080;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.9485536813736;36;0;0;1;0;0;0;0
209;1984;0;0;0;0;1;7;0;0;0;2280;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;2.03702592849731;49;0;0;0;1;0;0;0
209;1986;0;0;0;0;0;9;0;0;0;2395;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.97260367870331;81;0;0;0;0;0;1;0
212;1987;0;0;0;0;0;9;0;0;0;2912;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;1;2.24128437042236;81;0;0;0;0;0;0;1
212;1986;0;0;0;0;0;8;0;0;0;2856;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.14396619796753;64;0;0;0;0;0;1;0
212;1985;0;0;0;0;0;7;0;0;0;2704;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.09698581695557;49;0;0;0;0;1;0;0
212;1982;0;0;0;0;0;4;0;0;0;2110;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;1;1.96386539936066;16;0;1;0;0;0;0;0
212;1981;0;0;0;0;0;3;0;0;0;2080;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.17998266220093;9;1;0;0;0;0;0;0
212;1980;0;0;0;0;0;2;0;0;0;2080;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;1.7844717502594;4;0;0;0;0;0;0;0
212;1984;0;0;0;0;0;6;0;0;0;2560;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.01286125183105;36;0;0;0;1;0;0;0
212;1983;0;0;0;0;0;5;0;0;0;2550;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.04493284225464;25;0;0;1;0;0;0;0
218;1981;0;0;0;0;0;3;0;0;0;2530;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;1.9621524810791;9;1;0;0;0;0;0;0
218;1984;0;0;0;0;0;6;0;0;0;2405;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.42833733558655;36;0;0;0;1;0;0;0
218;1986;0;0;1;0;0;8;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.96639633178711;64;0;0;0;0;0;1;0
218;1983;0;0;1;0;0;5;0;0;0;2520;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.19491767883301;25;0;0;1;0;0;0;0
218;1987;0;0;1;0;0;9;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;3.06505179405212;81;0;0;0;0;0;0;1
218;1980;0;0;0;0;0;2;0;0;0;2080;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.01331329345703;4;0;0;0;0;0;0;0
218;1982;0;0;0;0;0;4;0;0;0;2240;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.27564096450806;16;0;1;0;0;0;0;0
218;1985;0;0;1;0;0;7;0;0;0;2130;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.72303700447083;49;0;0;0;0;1;0;0
243;1982;0;0;0;0;0;6;0;0;1;2080;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.69050335884094;36;0;1;0;0;0;0;0
243;1981;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.6835458278656;25;1;0;0;0;0;0;0
243;1987;0;0;0;0;0;11;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.78697097301483;121;0;0;0;0;0;0;1
243;1985;0;0;0;0;0;9;0;0;0;2168;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.67176818847656;81;0;0;0;0;1;0;0
243;1986;0;0;0;0;0;10;0;0;0;2161;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.63571751117706;100;0;0;0;0;0;1;0
243;1984;0;0;0;0;0;8;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.69805061817169;64;0;0;0;1;0;0;0
243;1983;0;0;0;0;0;7;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.66087162494659;49;0;0;1;0;0;0;0
243;1980;0;0;0;0;0;4;0;0;0;2000;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;1;0;0;1.56418132781982;16;0;0;0;0;0;0;0
259;1983;0;0;0;0;0;6;0;0;0;3157;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;1.30815577507019;36;0;0;1;0;0;0;0
259;1982;0;0;0;0;0;5;0;0;0;1755;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.04272389411926;25;0;1;0;0;0;0;0
259;1981;0;0;0;0;0;4;0;0;0;2080;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.0890109539032;16;1;0;0;0;0;0;0
259;1984;0;0;0;0;0;7;0;0;0;2100;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.48815226554871;49;0;0;0;1;0;0;0
259;1987;0;0;0;0;0;10;0;0;0;3243;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;1;0;1.45433557033539;100;0;0;0;0;0;0;1
259;1980;0;0;0;0;0;3;0;0;0;1984;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.10718965530396;9;0;0;0;0;0;0;0
259;1986;0;0;0;0;0;9;0;0;0;2996;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;1;0;1.53513467311859;81;0;0;0;0;0;1;0
259;1985;0;0;0;1;0;8;0;0;0;2080;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.5428181886673;64;0;0;0;0;1;0;0
260;1982;0;0;0;0;0;4;0;0;0;2208;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;1.96725630760193;16;0;1;0;0;0;0;0
260;1984;0;0;0;0;0;6;0;0;0;2080;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.12883353233337;36;0;0;0;1;0;0;0
260;1983;0;0;0;0;0;5;0;0;0;2080;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.07518625259399;25;0;0;1;0;0;0;0
260;1987;0;0;0;0;0;9;0;0;0;2262;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;2.42155456542969;81;0;0;0;0;0;0;1
260;1986;0;0;0;0;0;8;0;0;0;2710;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;1.99213910102844;64;0;0;0;0;0;1;0
