obs,CPIFR,CPIIT,LNFR,LNIT,LNP,LNX
1984M06,80.9722,69.4,4.39410588588591,4.23988686751276,-0.154219018373148,5.29479416736425
1984M07,81.5164,69.5,4.40080422699725,4.24132675257075,-0.1594774744265,5.29876176778718
1984M08,81.9518,69.9,4.40613126956119,4.24706564923976,-0.159065620321424,5.31280294216831
1984M09,82.3327,70.5,4.41076835562259,4.25561270981822,-0.155155645804366,5.32130999840425
1984M10,82.8768,71.1,4.41735516772718,4.26408733680919,-0.153267830917981,5.31362904224729
1984M11,83.1489,71.7,4.4206329764474,4.27249074760558,-0.148142228841827,5.31595785418239
1984M12,83.3122,72.1,4.42259499703222,4.2780540442909,-0.144540952741316,5.31065346305911
1985M01,83.7475,72.9,4.42780631951336,4.28908863901461,-0.138717680498752,5.30805925983802
1985M02,84.1828,73.8,4.43299062484675,4.30135873160643,-0.131631893240324,5.30263403630877
1985M03,84.7814,74.4,4.44007617911676,4.30945594183905,-0.130620237277716,5.35858616035931
1985M04,85.38,75,4.44711188132982,4.31748811353631,-0.129623767793506,5.34484592760096
1985M05,85.8153,75.5,4.45219731227482,4.32413265625498,-0.128064656019839,5.34440674401708
1985M06,86.1418,75.9,4.4559947756231,4.32941668440158,-0.12657809122152,5.34689465091732
1985M07,86.4683,76.1,4.45977787278139,4.33204826486764,-0.127729607913752,5.38876894425555
1985M08,86.5772,76.3,4.46103650145854,4.33467293829041,-0.126363563168133,5.39463476620882
1985M09,86.686,76.7,4.46229239439254,4.33990170837321,-0.122390686019328,5.40509337991612
1985M10,86.9581,77.5,4.46542639344822,4.3502779363593,-0.115148457088922,5.40159887256221
1985M11,87.1214,78.1,4.46730254828438,4.35799005684564,-0.109312491438744,5.40146854341328
1985M12,87.2302,78.5,4.46855060123168,4.36309862478836,-0.105451976443313,5.40013451187744
1986M01,87.2846,78.9,4.46917404407735,4.36818122785183,-0.100992816225521,5.40425046824718
1986M02,87.0669,79.2,4.46667678866932,4.37197629882038,-0.0947004898489396,5.3938211639709
1986M03,87.2846,79.6,4.46917404407735,4.37701409285034,-0.0921599512270124,5.39815048424855
1986M04,87.6111,79.7,4.47290770224378,4.37826958579617,-0.0946381164476149,5.36877023838227
1986M05,87.8288,80.1,4.47538946507809,4.38327585407431,-0.0921136110037759,5.37445260383905
1986M06,88.1009,80.3,4.47848274855397,4.38576962095272,-0.0927131276012565,5.36975857175181
1986M07,88.2097,80.3,4.47971693428995,4.38576962095272,-0.0939473133372299,5.35214576982988
1986M08,88.3185,80.5,4.48094959868891,4.38825718442452,-0.0926924142643903,5.34712943523947
1986M09,88.645,80.7,4.48463962935034,4.3907385752759,-0.0939010540744407,5.35273263250689
1986M10,88.8627,81.1,4.48709248192124,4.39568296112137,-0.0914095207998686,5.35210028424999
1986M11,88.9715,81.5,4.48831609373016,4.40060302024682,-0.0877130734833385,5.35907656754358
1986M12,89.0804,81.8,4.48953933272484,4.4042772436087,-0.0852620891161404,5.34557540523145
1987M01,89.8966,82.2,4.49866012096261,4.40915530206213,-0.0895048189004761,5.36467984825773
1987M02,90.0599,82.7,4.50047500450195,4.41521960202965,-0.0852554024723,5.36365135246959
1987M03,90.1687,82.9,4.50168236019595,4.41763506214125,-0.0840472980547045,5.36341198303592
1987M04,90.6584,83.2,4.50709859700047,4.42124734782716,-0.0858512491733094,5.36764424891381
1987M05,90.8217,83.6,4.5088982438386,4.42604352009066,-0.08285472374794,5.37502004097703
1987M06,90.9849,83.9,4.51069355868234,4.42962561347316,-0.0810679452091749,5.37831222692306
1987M07,91.2026,84.1,4.51308340544585,4.4320065669789,-0.081076838466946,5.38478171894699
1987M08,91.4203,84.4,4.51546755445586,4.43556740160191,-0.0799001528539485,5.38104508174517
1987M09,91.4747,84.9,4.51606243131531,4.4414740933173,-0.074588337998005,5.37782654730601
1987M10,91.6924,85.6,4.51843949687466,4.4496852831477,-0.0687542137269652,5.37580419535952
1987M11,91.8012,85.9,4.51962536943643,4.45318382899021,-0.0664415404462231,5.37941567072964
1987M12,91.8556,86,4.52021777877375,4.45434729625351,-0.0658704825202436,5.38296591258324
1988M01,92.0189,86.5,4.52199399073281,4.46014441393783,-0.0618495767949794,5.38832396172314
1988M02,92.1821,86.9,4.5237659685473,4.46475803227135,-0.0590079362759495,5.38224436673424
1988M03,92.4542,87.3,4.52671338676337,4.46935046284556,-0.0573629239178093,5.38842585918651
1988M04,92.8895,87.5,4.53141061467421,4.47163879336357,-0.0597718213106404,5.39080629764291
1988M05,93.1072,87.8,4.53375151749037,4.47506150064107,-0.0586900168492974,5.39347798971478
1988M06,93.3793,88.1,4.53666969326282,4.47847253294213,-0.0581971603206854,5.39431094914311
1988M07,93.7058,88.2,4.5401600870085,4.47960696301275,-0.0605531239957537,5.39015470483115
1988M08,93.9779,88.6,4.54305964824519,4.48413185761104,-0.0589277906341517,5.39101595730224
1988M09,94.1955,89.1,4.54537240974062,4.48975933447676,-0.0556130752638602,5.38950725140156
1988M10,94.4132,89.7,4.54768089388456,4.49647076906475,-0.0512101248198054,5.38238687882732
1988M11,94.522,90.3,4.5488326116378,4.50313746042294,-0.0456951512148613,5.37851898467156
1988M12,94.6853,90.7,4.55055876111033,4.50755735712109,-0.0430014039892432,5.37285556756862
1989M01,95.0662,91.3,4.55457349102408,4.51415078760092,-0.0404227034231548,5.37106630849556
1989M02,95.3383,92,4.55743161869679,4.52178857704904,-0.0356430416477522,5.37347817712997
1989M03,95.6104,92.6,4.5602816007514,4.52828914165213,-0.0319924590992669,5.38358180185655
1989M04,96.209,93,4.56652290838921,4.53259949315326,-0.0339234152359547,5.3771308575057
1989M05,96.5899,93.5,4.57047418088681,4.53796143629464,-0.0325127445921653,5.3616169955756
1989M06,96.6987,93.9,4.57159995872876,4.54223038621422,-0.0293695725145406,5.35699751085754
1989M07,96.9708,94,4.57440990225664,4.54329478227,-0.0311151199866391,5.35675748642954
1989M08,97.134,94.2,4.57609146848742,4.54542018158232,-0.0306712869051067,5.3622649318556
1989M09,97.3517,94.7,4.57833019442896,4.55071400019203,-0.0276161942369297,5.36554274360325
1989M10,97.787,95.4,4.58279164387017,4.55807857845424,-0.0247130654159298,5.37540756600954
1989M11,97.9503,96,4.584460207173,4.56434819146784,-0.02011201570516,5.38140497227238
1989M12,98.0591,96.4,4.58557035812672,4.5685062016165,-0.0170641565102168,5.39008445884244
1990M01,98.5082,97.3,4.59013979344402,4.57779898919196,-0.012340804252065,5.38905300818007
1990M02,98.7082,98,4.59216802302901,4.58496747867057,-0.00720054435843487,5.39139368951464
1990M03,99.0083,98.4,4.59520368500419,4.58904080405821,-0.00616288094597994,5.38886759939426
1990M04,99.5083,98.8,4.60024105777096,4.59309760475382,-0.00714345301714037,5.38700429734637
1990M05,99.6083,99.1,4.60124549445186,4.59612944133594,-0.00511605311591445,5.38290388928682
1990M06,99.6083,99.5,4.60124549445186,4.60015764416455,-0.00108785028730995,5.3856375291918
1990M07,99.7083,99.8,4.60224892325197,4.60316818331742,0.000919260065446181,5.3840059523684
1990M08,100.3084,100.5,4.6082494402149,4.61015772749913,0.00190828728423309,5.40062392361792
1990M09,101.0084,101.1,4.6152036816998,4.61611012602643,0.000906444326627565,5.41006489176571
1990M10,101.5085,101.9,4.62014253881789,4.62399194022868,0.00384940141079238,5.40783298778599
1990M11,101.3084,102.5,4.61816932983062,4.62986279857846,0.0116934687478452,5.40627720104771
1990M12,101.2084,102.7,4.6171817573613,4.63181211693451,0.014630359573216,5.40890166446658
1991M01,101.8085,103.4,4.62309359768378,4.63860496207433,0.0155113643905462,5.40145952346657
1991M02,102.1085,104.2,4.62603597341939,4.64631212931927,0.0202761558998725,5.39630350822514
1991M03,102.3085,104.8,4.62799275845994,4.65205377188694,0.0240610134269996,5.3944317683337
1991M04,102.6086,105.2,4.63092174988668,4.65586330030361,0.0249415504169281,5.38384944157652
1991M05,102.9086,105.6,4.63384121563536,4.65965837127216,0.0258171556368021,5.38902104360047
1991M06,103.1086,106.1,4.63578280170516,4.66438204561994,0.0285992439147815,5.39292184285676
1991M07,103.4086,106.5,4.63868813076272,4.66814498514948,0.0294568543867602,5.39193884857727
1991M08,103.5086,106.8,4.63965470104093,4.6709579265261,0.0313032254851624,5.39220244046208
1991M09,103.7086,107.3,4.64158504333012,4.67562864963665,0.0340436063065317,5.39079854850881
1991M10,104.2087,107.8,4.64639561911605,4.6802776584749,0.0338820393588506,5.38847566179229
1991M11,104.6087,108.5,4.65022672216823,4.68675017298051,0.0365234508122807,5.3967993291089
1991M12,104.3087,108.8,4.6473547717591,4.68951133442184,0.0421565626627416,5.40057111118667
1992M01,104.5087,109.5,4.64927032152799,4.69592454925656,0.0466542277285606,5.39993940279187
1992M02,104.9087,110,4.65309044809289,4.70048036579242,0.0473899176995287,5.39756886007045
1992M03,105.3088,110.5,4.65689698639833,4.70501552095781,0.0481185345594817,5.40394729591073
1992M04,105.5088,110.8,4.65879436175978,4.70772677431318,0.0489324125534019,5.40601370205338
1992M05,105.8088,111.4,4.66163369176869,4.71312732749318,0.0514936357244977,5.41164426613916
1992M06,105.8088,111.7,4.66163369176869,4.71581670607516,0.054183014306469,5.41555847761203
1992M07,105.7088,111.9,4.66068814390458,4.71760561531788,0.0569174714133007,5.40990346300005
1992M08,105.6088,112.2,4.65974170113347,4.7202829930886,0.0605412919551309,5.41165319468667
1992M09,105.9088,112.4,4.66257834641654,4.72206393745959,0.0594855910430487,5.5638960745365
1992M10,106.2089,113,4.66540790943959,4.72738781871234,0.0619799092727469,5.53540445336952
1992M11,106.3089,113.7,4.66634900714887,4.73356340075649,0.0672143936076175,5.54353273330835
1992M12,106.3089,113.8,4.66634900714887,4.73444252169223,0.0680935145433574,5.58578541609855
1993M01,106.7089,114.4,4.67010456626309,4.7397010789457,0.0695965126826028,5.61631462986463
1993M02,107.1089,114.9,4.67384607390773,4.74406218485471,0.0702161109469834,5.66785300607732
1993M03,107.609,115.2,4.67850428735247,4.74666974826179,0.068165460909321,5.67515972418148
1993M04,107.709,115.7,4.67943314613055,4.75100063419963,0.0715674880690766,5.61332334280265
1993M05,107.909,116.2,4.68128827935096,4.75531284441781,0.0740245650668516,5.60332694689005
1993M06,107.809,116.8,4.6803611429306,4.76046307039413,0.0801019274635228,5.59308738505632
1993M07,107.909,117.1,4.68128827935096,4.76302827060367,0.0817399912527117,5.6086087855366
1993M08,107.909,117.3,4.68128827935096,4.76473475565943,0.0834464763084704,5.59842344047876
1993M09,108.309,117.5,4.6849882530472,4.76643833358421,0.0814500805370146,5.63289280538519
1993M10,108.509,118.2,4.68683311884917,4.772378104972,0.0855449861228319,5.62928770975909
1993M11,108.6091,118.6,4.68775519772783,4.77575648656363,0.0880012888357999,5.65170255517076
1993M12,108.509,118.7,4.68683311884917,4.77659930161562,0.0897661827664562,5.66931455572831
1994M01,108.7091,119.4,4.68867550727445,4.7824792009585,0.0938036936840474,5.65774342270481
1994M02,109.0091,119.8,4.69143136498289,4.78582368568135,0.0943923206984554,5.65634384675003
1994M03,109.2091,120.9,4.69326439317211,4.79496375762075,0.101699364448638,5.65065381280121
1994M04,109.5091,120.4,4.69600765082636,4.79081953287472,0.094811882048365,5.63389455988034
1994M05,109.7091,120.9,4.6978323173503,4.79496375762075,0.0971314402704424,5.64465612570155
1994M06,109.7091,121.2,4.6978323173503,4.79744207363521,0.0996097562849094,5.66165372392405
1994M07,109.7091,121.5,4.6978323173503,4.7999142627806,0.102081945430299,5.68073934259121
1994M08,109.7091,121.7,4.6978323173503,4.80155899999348,0.103726682643178,5.67363490245697
1994M09,110.0092,122.1,4.70056399865873,4.80484038111666,0.104276382457932,5.68278829774666
1994M10,110.3092,122.7,4.70328733166599,4.80974235171687,0.106455020050877,5.69260254482262
1994M11,110.3092,123.2,4.70328733166599,4.81380905109942,0.110521719433431,5.70123723828847
1994M12,110.2092,123.5,4.70238037780767,4.81624115606803,0.113860778260358,5.70916231068564
1995M01,110.5092,124,4.70509877541061,4.82028156560504,0.115182790194425,5.71307945681005
1995M02,110.9092,125,4.70871184853501,4.8283137373023,0.119601888767296,5.749012658816
1995M03,111.2093,126.7,4.71141401141295,4.84182208732709,0.130408075914139,5.84250242507088
1995M04,111.3093,126.7,4.71231281274221,4.84182208732709,0.129509274584883,5.85470881903917
1995M05,111.5093,127.1,4.71410799549366,4.84497417819541,0.130866182701745,5.78806816812098
1995M06,111.5093,128,4.71410799549366,4.85203026391962,0.137922268425954,5.80237030738575
1995M07,111.3093,128.2,4.71231281274221,4.85359154448657,0.141278731744359,5.79549558670173
1995M08,111.8093,128.6,4.71679474151898,4.85670681180352,0.139912070284535,5.76541302173268
1995M09,112.2094,128.9,4.72036676854547,4.85903690994514,0.138670141399675,5.77475866695043
1995M10,112.3094,129.4,4.72125756260469,4.8629083820668,0.141650819462106,5.7796679375654
1995M11,112.4094,130.2,4.72214756385604,4.86907172977447,0.146924165918424,5.76490328707521
1995M12,112.5094,130.4,4.72303677370946,4.87060664949255,0.147569875783093,5.75103240565623
1996M01,112.7094,130.9,4.72481282484349,4.87443367291585,0.149620848072363,5.71448895519969
1996M02,113.1094,131.3,4.72835549195845,4.87748478130875,0.149129289350302,5.71083686714981
1996M03,113.8095,131.7,4.73452599799709,4.88052660874924,0.146000610752145,5.72102824119683
1996M04,114.0095,132.5,4.7362817782558,4.88658264542628,0.150300867170477,5.69860341980765
1996M05,114.2095,133,4.73803448115257,4.89034912822175,0.15231464706918,5.68404768505899
1996M06,114.1095,133.2,4.73715851370007,4.89185175810629,0.154693244406221,5.68195361593892
