fox;rabbit
14,01;5,982
13,988;5,996
14;5,993
14,004;5,994
14,006;5,991
14;5,973
14,002;5,98
13,991;5,986
13,991;6,017
14,011;6,034
14,03;6,025
14,042;5,988
14,022;5,962
14,021;5,975
13,99;6,003
14,001;6,014
14,003;5,995
13,998;6,012
13,997;5,999
14,001;6,001
13,982;6,002
13,98;6,012
13,994;6,015
14,009;5,995
13,996;5,984
13,986;5,985
13,992;6,015
14;5,987
13,989;5,971
13,991;5,993
13,979;6,012
13,971;5,999
13,991;6,018
14,008;6,019
14,011;6,013
14,013;6,011
14,016;6,004
13,999;5,995
13,998;5,994
14,004;5,999
14,004;5,986
13,992;5,979
13,983;5,985
13,993;6,011
13,984;5,993
13,987;6,008
13,994;6,021
14,003;6,019
14,002;6,005
14,019;6,011
14,015;6,001
13,996;5,998
13,979;6,009
13,995;6,01
13,995;6,004
14,011;6,023
14,017;6,007
14,02;5,985
14,013;5,994
14,017;6,005
14,009;6,01
14,029;6,001
14,012;5,975
13,983;5,977
13,97;5,988
13,962;6,007
13,983;6,023
13,989;6,012
14,01;6
14,014;6,001
14,001;5,996
13,975;5,994
14,002;6,008
13,992;5,992
14,002;6,009
14,002;6,001
13,996;6
13,988;5,995
13,983;6,007
13,98;6,01
13,993;6
13,989;5,984
13,996;5,995
13,984;6,001
14,01;5,996
14,018;5,978
13,984;5,986
13,98;6,006
13,992;6,021
14;6,008
14,021;6,005
14,026;5,987
14,012;5,988
13,995;5,982
13,997;6,008
14,008;6,003
14,032;5,988
14,002;5,979
13,982;5,981
13,963;6,005
13,989;6,017
14,002;6,031
13,998;6,004
14,013;6,013
14,016;6,013
14,025;5,989
14,009;5,975
13,987;5,986
13,968;6,009
13,978;6,02
14,008;6,011
14,015;6,004
14,001;6,004
13,999;5,996
14,006;5,996
14,002;5,997
13,999;5,998
13,996;5,999
13,988;6,012
14,013;6,013
14,011;5,99
14,016;6,003
14,02;5,998
14,005;5,98
14,008;5,97
13,975;5,968
13,978;5,989
13,99;5,996
13,996;6,003
13,999;5,987
13,997;5,984
13,99;5,966
13,968;5,989
13,977;5,995
13,982;6,011
13,998;6,014
13,993;5,995
13,983;6,014
14,003;6,012
14,017;6,013
14,011;6,008
14,024;6,007
14,023;5,994
14,009;5,98
13,981;5,995
14,004;6,022
14,015;6,002
14,014;5,999
14,014;5,992
14,007;5,992
13,992;5,995
13,979;5,994
13,976;6,006
13,992;5,992
14;5,998
14,003;5,989
13,995;6,004
13,986;6,009
13,963;6,011
13,994;6,044
14,029;6,027
14,032;5,999
14,006;5,973
13,974;5,978
13,981;6,001
13,996;6,007
13,992;6,028
14,016;6,012
14,011;6,031
14,031;6,01
14,024;5,992
14,013;5,993
14,011;6,002
14,006;5,988
13,988;5,997
13,987;5,995
13,985;6,008
13,98;6,018
14,008;6,036
14,021;6,01
14,017;6,008
14,019;5,981
13,999;5,977
13,994;5,969
13,992;5,998
13,988;6,023
14,007;6,015
14,023;5,999
13,997;5,997
13,999;5,994
14,013;6,004
14,019;6,001
13,996;5,984
13,976;6,011
13,998;6,017
14,018;6,003
14,003;5,987
13,996;5,999
14,017;5,983
14;5,99
14,012;5,984
13,997;5,988
13,993;6,009
13,991;6,026
14,006;6,024
14,011;5,999
14,009;6
13,999;5,992
13,99;5,997
13,986;6,021
14,008;6,004
13,996;5,996
14,014;5,995
14,001;6,009
