BP,CD,DATE,DAY,DDM,DM,DY,SF
2.3525,0.8728,800703,4,0.00228250472197011,0.5702,0.004572,0.6218
2.383,0.8742,800707,1,0.00873062992826534,0.5752,0.004583,0.63
2.3705,0.8739,800708,2,-0.000695652201967212,0.5748,0.004561,0.629
2.3745,0.8726,800709,3,0.000869489664377943,0.5753,0.004587,0.628
2.3755,0.8715,800710,4,-0.000173837462410731,0.5752,0.004614,0.6276
2.3755,0.8692,800711,5,-0.00313425295756753,0.5734,0.004581,0.6243
2.3765,0.8682,800714,1,-0.00122153404945791,0.5727,0.004574,0.6224
2.37,0.8661,800715,2,-0.00332313379713034,0.5708,0.004553,0.618
2.3785,0.8688,800716,3,0.00733115519466909,0.575,0.004575,0.6257
2.3755,0.8682,800717,4,-0.00383342515091456,0.5728,0.004563,0.622
2.3785,0.8668,800718,5,0.000349101068303659,0.573,0.004541,0.623
2.3805,0.8669,800721,1,0.00296244879895635,0.5747,0.004545,0.6252
2.3895,0.8672,800722,2,0,0.5747,0.004516,0.625
2.384,0.8668,800723,3,0.00104347835555196,0.5753,0.004457,0.6253
2.393,0.8665,800724,4,0.00104239064337885,0.5759,0.004478,0.6253
2.396,0.8634,800725,5,-0.000521059499413834,0.5756,0.004436,0.6252
2.38,0.858,800728,1,-0.00749850928279594,0.5713,0.004393,0.6203
2.3615,0.8585,800729,2,-0.00896709305261756,0.5662,0.004407,0.6142
2.346,0.8578,800730,3,-0.00833559849930143,0.5615,0.004417,0.606
2.329,0.8617,800731,4,-0.0033895313871718,0.5596,0.00439,0.6031
2.334,0.8635,800801,5,-0.000715051871725492,0.5592,0.004405,0.6009
2.3565,0.8649,800804,1,0.00854706057845822,0.564,0.004431,0.6116
2.3555,0.8646,800805,2,0.0015944728331575,0.5649,0.004426,0.6123
2.375,0.8641,800806,3,-0.0015944728331575,0.564,0.004436,0.6127
2.3765,0.8643,800807,4,-0.00586824836843203,0.5607,0.004426,0.6079
2.373,0.864,800808,5,-0.000356760617412188,0.5605,0.004413,0.606
2.3705,0.8616,800811,1,0.000178396218473265,0.5606,0.004424,0.6076
2.38,0.8631,800812,2,0.00320570176576729,0.5624,0.004491,0.6116
2.3775,0.8629,800813,3,-0.00267070398216396,0.5609,0.004466,0.6091
2.3775,0.8625,800814,4,-0.00232039372296511,0.5596,0.004452,0.6079
2.3725,0.8625,800815,5,-0.00160958632622299,0.5587,0.004441,0.6065
2.3585,0.8584,800818,1,-0.00718522940391431,0.5547,0.004417,0.6011
2.358,0.8605,800819,2,0.00144118201849586,0.5555,0.004457,0.6018
2.369,0.8614,800820,3,0.00143910800156288,0.5563,0.004452,0.6026
2.365,0.8604,800821,4,-0.00504596493255594,0.5535,0.004442,0.5991
2.371,0.8637,800822,5,0.00306665704390319,0.5552,0.004483,0.6013
2.369,0.8638,800825,1,-0.00216372244531082,0.554,0.004481,0.5997
2.384,0.8632,800826,2,0.00468216234450647,0.5566,0.004556,0.6038
2.3975,0.863,800827,3,-0.001078554841208,0.556,0.004562,0.6036
2.39,0.8649,800828,4,0.00591770757695986,0.5593,0.004586,0.6075
2.4045,0.8645,800829,5,-0.000178810907941696,0.5592,0.004573,0.608
2.415,0.8657,800902,2,0.00392647300818161,0.5614,0.004623,0.6099
2.411,0.8608,800903,3,0.0032011409160505,0.5632,0.004609,0.6136
2.4205,0.8605,800904,4,-0.00248889017368947,0.5618,0.004597,0.612
2.414,0.8594,800905,5,-0.00249510020729127,0.5604,0.004578,0.6108
2.4215,0.8598,800908,1,0.0037403196157233,0.5625,0.004612,0.6148
2.4,0.8605,800909,2,-0.00195747015079306,0.5614,0.004619,0.6129
2.408,0.8591,800910,3,0.00160185137037383,0.5623,0.004617,0.6135
2.418,0.8615,800911,4,0.00017782519829912,0.5624,0.004674,0.6142
2.406,0.8605,800912,5,-0.00177967656867295,0.5614,0.004698,0.6133
2.391,0.858,800915,1,-0.00267546757293469,0.5599,0.004692,0.6117
2.383,0.8554,800916,2,0.000714158216391425,0.5603,0.00473,0.612
2.391,0.8547,800917,3,0.000891981149141352,0.5608,0.004722,0.6131
2.3815,0.8569,800918,4,-0.00877591376095654,0.5559,0.004692,0.6069
2.386,0.858,800919,5,0.00377054042188729,0.558,0.004739,0.609
2.406,0.8594,800922,1,-0.0079165580778513,0.5536,0.004656,0.6033
2.4015,0.8579,800923,2,0.000180619525461667,0.5537,0.004597,0.6035
2.4,0.8583,800924,3,0.00252525386719427,0.5551,0.004629,0.606
2.4025,0.8585,800925,4,0.000540297176583548,0.5554,0.004642,0.6058
2.386,0.8555,800926,5,-0.00342682272400763,0.5535,0.004725,0.6069
2.387,0.8533,800929,1,-0.00434547125950191,0.5511,0.004703,0.6042
2.3795,0.8543,800930,2,0,0.5511,0.004746,0.6046
2.393,0.8535,801001,3,0.00326087245469753,0.5529,0.004805,0.6099
2.389,0.8548,801002,4,-0.0030794336444383,0.5512,0.004791,0.6073
2.4,0.8597,801003,5,0.00705055799666676,0.5551,0.004824,0.6116
2.3975,0.8572,801006,1,-0.000540589255439206,0.5548,0.004806,0.6116
2.3915,0.8567,801007,2,-0.000721240564983017,0.5544,0.00479,0.6105
2.395,0.8558,801008,3,-0.000180391449934425,0.5543,0.004797,0.6105
2.4005,0.8592,801009,4,0,0.5543,0.004793,0.6116
2.401,0.8577,801010,5,0,0.5543,0.004784,0.6114
2.4055,0.8583,801014,2,-0.0101542123608294,0.5487,0.004828,0.6058
2.4095,0.8573,801015,3,-0.000546896376770301,0.5484,0.004822,0.6082
2.4175,0.8572,801016,4,-0.00603568361792406,0.5451,0.004796,0.6044
2.408,0.8566,801017,5,-0.0073651594215457,0.5411,0.004804,0.602
2.4315,0.8563,801020,1,-0.00630332083305729,0.5377,0.004789,0.6049
2.439,0.8561,801021,2,-0.00503403691962567,0.535,0.004803,0.6022
2.434,0.8544,801022,3,0.00261340451151681,0.5364,0.004781,0.6018
2.4545,0.8554,801023,4,-0.000745990336721403,0.536,0.004741,0.6002
2.4425,0.8537,801024,5,-0.000186584569997428,0.5359,0.004694,0.5973
2.436,0.8515,801027,1,-0.00805624966171448,0.5316,0.004662,0.5865
2.436,0.8525,801028,2,-0.00584852152879789,0.5285,0.004694,0.5861
2.436,0.8503,801029,3,0.00471921593164659,0.531,0.00478,0.5905
2.443,0.8501,801030,4,-0.0109828788132977,0.5252,0.004743,0.5829
2.4335,0.8498,801031,5,-0.00266921035502954,0.5238,0.004731,0.5824
2.4495,0.8461,801103,1,-0.00133728169704617,0.5231,0.004752,0.5854
2.4465,0.8431,801105,3,-0.0142474493196521,0.5157,0.004748,0.575
2.434,0.8417,801106,4,-0.0066148101117568,0.5123,0.004694,0.5714
2.42,0.843,801107,5,0.00195007862110086,0.5133,0.004688,0.5727
2.397,0.8451,801110,1,0.031639107271712,0.5298,0.004777,0.5891
2.416,0.8441,801112,3,-0.00454030291878316,0.5274,0.004699,0.5858
2.41,0.8431,801113,4,-0.00132814742984277,0.5267,0.0047,0.5841
2.405,0.8436,801114,5,-0.00609409617875201,0.5235,0.004688,0.5824
2.3975,0.8417,801117,1,-0.0095970026410096,0.5185,0.004679,0.5763
2.3895,0.8448,801118,2,0.0095970026410096,0.5235,0.004694,0.5803
2.3805,0.8427,801119,3,0.00685325355056976,0.5271,0.004705,0.5858
2.384,0.8446,801120,4,-0.00991428521179372,0.5219,0.004674,0.5793
2.3575,0.8429,801121,5,-0.00153403673419861,0.5211,0.004679,0.5785
2.3375,0.8397,801124,1,0.00191717850133777,0.5221,0.004685,0.5776
2.358,0.8421,801125,2,0.000191515848521728,0.5222,0.004659,0.5787
2.368,0.8416,801126,3,-0.00691778316046454,0.5186,0.004624,0.5769
2.3565,0.8397,801128,5,0.00173393743471806,0.5195,0.004615,0.5751
2.348,0.8382,801201,1,-0.00889410348718622,0.5149,0.004592,0.5701
2.3345,0.8375,801202,2,-0.00369686188132623,0.513,0.00463,0.5681
2.348,0.8371,801203,3,0.00466745304749516,0.5154,0.004679,0.5709
2.343,0.8377,801204,4,-0.00310921354248139,0.5138,0.004728,0.5694
2.346,0.8368,801205,5,-0.0052688189015494,0.5111,0.004725,0.5656
2.346,0.8361,801208,1,-0.00313541311145449,0.5095,0.004807,0.564
2.334,0.8341,801209,2,-0.0154275211725721,0.5017,0.00482,0.5549
2.3395,0.8338,801210,3,-0.00840677489155983,0.4975,0.004748,0.5494
2.319,0.832,801211,4,-0.00604840553588071,0.4945,0.004743,0.5452
2.319,0.8299,801212,5,0.00945966599245107,0.4992,0.00475,0.5502
2.32,0.8272,801215,1,0.00160128136697391,0.5,0.004784,0.5515
2.3135,0.828,801216,2,-0.00200200267067308,0.499,0.004793,0.5503
2.329,0.8279,801217,3,0.0119523335238412,0.505,0.004791,0.5552
2.325,0.8344,801218,4,-0.00496278934212913,0.5025,0.004764,0.5534
2.35,0.8385,801219,5,0.0104920293373474,0.5078,0.004805,0.5586
2.355,0.8383,801222,1,0.00510706276000195,0.5104,0.004812,0.5586
2.3705,0.8378,801223,2,0.00625002034517119,0.5136,0.004817,0.5651
2.37,0.838,801224,3,0.00155642054765825,0.5144,0.004807,0.5649
2.379,0.8396,801226,5,-0.00311526731694922,0.5128,0.004822,0.5665
2.373,0.8427,801229,1,-0.00136598713795566,0.5121,0.00485,0.5656
2.387,0.8396,801230,2,-0.00509006580572524,0.5095,0.004926,0.5627
2.3875,0.8371,801231,3,-0.00649800455175575,0.5062,0.004926,0.5586
2.38,0.8371,810102,5,0.00276188772920904,0.5076,0.004938,0.5596
2.4235,0.8406,810105,1,0.0173815527194605,0.5165,0.005017,0.5698
2.418,0.8413,810106,2,-0.00213199034142852,0.5154,0.005005,0.5706
2.406,0.8411,810107,3,-0.00720478240721845,0.5117,0.004967,0.5646
2.3978,0.8431,810108,4,-0.00922751221986307,0.507,0.004944,0.5613
2.4,0.8415,810109,5,-0.0061331679046307,0.5039,0.004928,0.5552
2.396,0.8405,810112,1,-0.00337938896306789,0.5022,0.004902,0.5512
2.3915,0.842,810113,2,-0.000199143682824809,0.5021,0.004921,0.5549
2.404,0.8394,810114,3,-0.000199183348930543,0.502,0.004928,0.5537
2.389,0.8392,810115,4,-0.0140423571230389,0.495,0.004938,0.5455
2.397,0.8394,810116,5,0.00804833318282838,0.499,0.004926,0.5502
2.408,0.8392,810119,1,-0.000400881945637255,0.4988,0.004943,0.5479
2.4275,0.8409,810120,2,0.00599642012644053,0.5018,0.004992,0.5506
2.417,0.8397,810121,3,-0.00981283532404709,0.4969,0.004997,0.5476
2.412,0.8402,810122,4,-0.00181287188334744,0.496,0.00497,0.5482
2.412,0.8401,810123,5,-0.010539213888171,0.4908,0.004932,0.5436
2.422,0.8404,810126,1,-0.0110634195442554,0.4854,0.004906,0.538
2.408,0.8385,810127,2,-0.00474962173214011,0.4831,0.004939,0.5347
2.408,0.834,810128,3,-0.00414852285495282,0.4811,0.004887,0.5317
2.395,0.8368,810129,4,-0.010447232504935,0.4761,0.004892,0.5238
2.361,0.8369,810130,5,-0.0169459678944482,0.4681,0.004845,0.5168
2.345,0.8361,810202,1,0.00277333511089817,0.4694,0.004922,0.5197
2.353,0.8359,810203,2,0.00297809196919863,0.4708,0.004906,0.5197
2.346,0.8376,810204,3,0.00254561019943367,0.472,0.004914,0.5205
2.332,0.8348,810205,4,-0.0196839902660338,0.4628,0.004897,0.51
2.346,0.8352,810206,5,0.0113869529865034,0.4681,0.004909,0.5154
2.338,0.8343,810209,1,-0.00235269063712751,0.467,0.004906,0.5153
2.342,0.8352,810210,2,0.000856164435860118,0.4674,0.004911,0.5152
2.334,0.835,810211,3,-0.00859481010648167,0.4634,0.0049,0.5096
2.305,0.8341,810212,4,-0.0152209940103554,0.4564,0.004868,0.5002
2.285,0.8311,810213,5,-0.0145665784627053,0.4498,0.004815,0.4943
2.267,0.8296,810217,2,0.0232926373225123,0.4604,0.004849,0.5063
2.264,0.8316,810218,3,0,0.4604,0.004828,0.5065
2.315,0.8357,810219,4,0.0274224552565042,0.4732,0.004863,0.5241
2.315,0.8371,810220,5,0.0134342910491275,0.4796,0.004859,0.5291
2.237,0.8343,810223,1,-0.0227761848905564,0.4688,0.004802,0.5192
2.232,0.8356,810224,2,0.0150315098642619,0.4759,0.004849,0.5241
2.2305,0.833,810225,3,-0.00674681032787405,0.4727,0.004817,0.5211
2.228,0.8328,810226,4,-0.00402756241306901,0.4708,0.0048,0.5117
2.202,0.832,810227,5,-0.00233918235317221,0.4697,0.004775,0.5089
2.1745,0.8298,810302,1,-0.0154476360804695,0.4625,0.004727,0.502
2.207,0.8318,810303,2,0.0135296813103228,0.4688,0.004802,0.5123
2.214,0.8318,810304,3,-0.00234917353096231,0.4677,0.004796,0.5146
2.2005,0.8326,810305,4,-0.00149780706294311,0.467,0.004773,0.5128
2.1855,0.8336,810306,5,0.00427351077738192,0.469,0.004782,0.5115
2.203,0.8352,810309,1,0.00912666846592303,0.4733,0.004847,0.5168
2.213,0.8338,810310,2,-0.00487134289578461,0.471,0.004805,0.5173
2.21,0.8341,810311,3,0.00233273353582342,0.4721,0.004821,0.516
2.222,0.8366,810312,4,0.0025386093599612,0.4733,0.004821,0.517
2.22,0.8382,810313,5,0.00211059597133367,0.4743,0.004812,0.5208
2.2455,0.8425,810316,1,0.00672412703724889,0.4775,0.0048,0.5254
2.262,0.845,810317,2,0.0077188241797389,0.4812,0.004833,0.5289
2.292,0.8458,810318,3,0.0175099746077479,0.4897,0.004823,0.5385
2.277,0.8443,810319,4,-0.0102628158569414,0.4847,0.004789,0.5319
2.257,0.8486,810320,5,-0.000619131172393095,0.4844,0.004807,0.5316
2.2615,0.8452,810323,1,-0.00662802757841341,0.4812,0.004798,0.5285
2.2575,0.8439,810324,2,-0.00458238668960864,0.479,0.004786,0.5252
2.265,0.8463,810325,3,-0.000208790062351527,0.4789,0.004792,0.5249
2.234,0.8433,810326,4,-0.0217422812748683,0.4686,0.004728,0.5159
2.225,0.8406,810327,5,0.00510856794272241,0.471,0.00473,0.5167
2.26,0.8426,810330,1,0.0264000247242199,0.4836,0.00475,0.5305
2.2365,0.8445,810331,2,-0.020261789767095,0.4739,0.004723,0.5185
2.243,0.8453,810401,3,0.00693936125021855,0.4772,0.004697,0.5227
2.202,0.8448,810402,4,-0.0128653045177657,0.4711,0.004678,0.517
2.202,0.8443,810403,5,-0.00276331348118297,0.4698,0.00469,0.5157
2.176,0.8401,810406,1,-0.0143640587381062,0.4631,0.004657,0.5081
2.199,0.8433,810407,2,0.0160654628065559,0.4706,0.004689,0.515
2.19,0.8428,810408,3,-0.00725104477924476,0.4672,0.004676,0.5133
2.191,0.8448,810409,4,-0.000214064005954917,0.4671,0.004669,0.5133
2.176,0.8416,810410,5,-0.00644332126093228,0.4641,0.004644,0.5092
2.175,0.8389,810413,1,-0.00302115033417627,0.4627,0.004633,0.5068
2.171,0.8364,810414,2,-0.0047660402175923,0.4605,0.00464,0.5055
2.1515,0.8344,810415,3,-0.0080671973535611,0.4568,0.00461,0.4997
2.157,0.8363,810416,4,0.000437732552404313,0.457,0.004604,0.501
2.154,0.8335,810417,5,-0.00087565679850965,0.4566,0.004597,0.5005
2.173,0.8373,810420,1,0.00654881187890555,0.4596,0.004588,0.5056
2.178,0.8371,810421,2,0.000217556837581623,0.4597,0.004582,0.5045
2.182,0.8364,810422,3,0.00369124292747092,0.4614,0.004602,0.5049
2.171,0.8387,810423,4,-0.00412640394391139,0.4595,0.004646,0.505
2.159,0.8362,810424,5,-0.00458066020706116,0.4574,0.004664,0.5007
2.1565,0.838,810427,1,-0.000656096250981952,0.4571,0.004703,0.5015
2.145,0.8364,810428,2,-0.00548427391925588,0.4546,0.00467,0.5005
2.147,0.8353,810429,3,-0.00330505974535034,0.4531,0.004659,0.496
2.1355,0.835,810430,4,-0.00353747881605238,0.4515,0.004618,0.4938
2.147,0.8353,810501,5,0.00574206524686527,0.4541,0.004644,0.4957
2.12,0.834,810504,1,-0.0162063709088598,0.4468,0.004601,0.4881
2.1185,0.8332,810505,2,-0.00899286636056373,0.4428,0.004589,0.4855
2.115,0.8328,810506,3,-0.000677736386497707,0.4425,0.004618,0.4847
2.1085,0.8348,810507,4,-0.00316885733709016,0.4411,0.004585,0.484
2.1225,0.833,810508,5,0.00542619463874017,0.4435,0.004601,0.4878
2.098,0.832,810511,1,-0.0145357998803654,0.4371,0.004582,0.4812
2.0925,0.8322,810512,2,-0.000228806773678647,0.437,0.004555,0.4835
2.0725,0.8316,810513,3,-0.00688866099518537,0.434,0.004525,0.4803
2.0775,0.8329,810514,4,0.00184162114664965,0.4348,0.004515,0.4823
2.076,0.8319,810515,5,-0.00622911230916701,0.4321,0.00448,0.4834
2.089,0.8347,810518,1,0.00645907666570533,0.4349,0.004519,0.4889
2.071,0.8321,810519,2,-0.00692203963693738,0.4319,0.004504,0.4849
2.0915,0.8321,810520,3,0.0121966763357281,0.4372,0.004553,0.4898
2.073,0.8327,810521,4,-0.0124282382216765,0.4318,0.004494,0.4854
2.0705,0.8327,810522,5,0.000231561885948417,0.4319,0.004492,0.4825
2.0595,0.8322,810526,2,-0.00907088438485859,0.428,0.004453,0.4816
2.069,0.8308,810527,3,0.00186741417479541,0.4288,0.004452,0.4811
2.07,0.8322,810528,4,0.00465333552564129,0.4308,0.004464,0.4825
2.071,0.8307,810529,5,-0.00418702635421653,0.429,0.004471,0.4818
2.053,0.8286,810601,1,-0.00866211666842909,0.4253,0.00447,0.4784
2.042,0.8281,810602,2,-0.00306134702763017,0.424,0.004478,0.4789
1.989,0.8273,810603,3,-0.00781346463548249,0.4207,0.004454,0.4746
1.9595,0.8284,810604,4,-0.0146057905947959,0.4146,0.004409,0.4672
1.917,0.8278,810605,5,-0.0033824627561958,0.4132,0.004385,0.4672
1.925,0.8292,810608,1,0.000725777218262502,0.4135,0.004374,0.4708
